,admin_name,capital,city,city_ascii,country,id,iso2,iso3,lat,lng,population
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
6120,Liaoning,,Dalian,Dalian,China,1156175472.0,CN,CHN,38.9228,121.6298,3167000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
2808,,primary,Singapore,Singapore,Singapore,1702341327.0,SG,SGP,1.293,103.8558,5183700.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
4380,Victoria,admin,Melbourne,Melbourne,Australia,1036533631.0,AU,AUS,-37.82,144.975,4170000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5792,Henan,admin,Zhengzhou,Zhengzhou,China,1156183137.0,CN,CHN,34.755,113.6651,2636000.0
3068,Awdal,admin,Baki,Baki,Somalia,1706516720.0,SO,SOM,9.8921,43.3853,
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5748,Shaanxi,admin,Xian,Xian,China,1156244079.0,CN,CHN,34.275,108.895,4009000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5437,Nord-Kivu,admin,Goma,Goma,Congo (Kinshasa),1180805022.0,CD,COD,-1.6788,29.2218,144124.0
7648,Māzandarān,,Sari,Sari,Iran,1364351297.0,IR,IRN,36.5504,53.1,271467.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5733,Shanghai,admin,Shanghai,Shanghai,China,1156073548.0,CN,CHN,31.2165,121.4365,14987000.0
3223,Chai Nat,admin,Chainat,Chainat,Thailand,1764848732.0,TH,THA,15.179,100.126,15469.0
3223,Chai Nat,admin,Chainat,Chainat,Thailand,1764848732.0,TH,THA,15.179,100.126,15469.0
5913,Hubei,admin,Wuhan,Wuhan,China,1156117184.0,CN,CHN,30.58,114.27,7243000.0
5751,Shandong,,Taian,Taian,China,1156095188.0,CN,CHN,36.2,117.1201,1629000.0
3200,Krung Thep Maha Nakhon,primary,Bangkok,Bangkok,Thailand,1764068610.0,TH,THA,13.75,100.5166,6704000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
334,Central,,Kandy,Kandy,Sri Lanka,1144308408.0,LK,LKA,7.28,80.67,111701.0
5751,Shandong,,Taian,Taian,China,1156095188.0,CN,CHN,36.2,117.1201,1629000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
3200,Krung Thep Maha Nakhon,primary,Bangkok,Bangkok,Thailand,1764068610.0,TH,THA,13.75,100.5166,6704000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
1784,Sindh,admin,Karachi,Karachi,Pakistan,1586129469.0,PK,PAK,24.87,66.99,12130000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
4011,Syunik’,admin,Kapan,Kapan,Armenia,1051527958.0,AM,ARM,39.2075,46.4058,
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
5957,Beijing,primary,Beijing,Beijing,China,1156228865.0,CN,CHN,39.9289,116.3883,11106000.0
2035,Inđija,admin,Inđija,Indija,Serbia,1688349740.0,RS,SRB,45.0482,20.0816,
